total_load_kwh,total_pv_kwh,pv_curtailed_kwh,pv_used_kwh,energy_not_served_kwh,self_sufficiency_percent,pv_utilization_percent,throughput_charge_kwh,throughput_discharge_kwh,estimated_full_cycles,loss_of_load_hours,max_contiguous_lol_hours,diag_pv_points,diag_load_points,diag_pv_step_seconds,diag_load_step_seconds,diag_target_freq,diag_target_step_hours,diag_pv_mean_before,diag_pv_mean_after,diag_load_mean_before,diag_load_mean_after,diag_interp,capacity_kwh,power_kw
92877.0,229183.86,143994.84,85189.02,8836.25,90.0,37.0,14891.22,13742.94,142.96,4339,36,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,8.587229190421892,10.57403085330449,linear,50,60.0
92877.0,229183.86,137960.45,91223.41,3271.09,96.0,40.0,20925.6,19308.1,100.44,1477,33,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,8.587229190421892,10.57403085330449,linear,100,60.0
92877.0,229183.86,136052.27,93131.59,1536.51,98.0,41.0,22833.78,21042.68,73.06,639,29,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,8.587229190421892,10.57403085330449,linear,150,60.0
92877.0,229183.86,135280.28,93903.58,849.04,99.0,41.0,23605.77,21730.15,56.59,336,22,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,8.587229190421892,10.57403085330449,linear,200,60.0
92877.0,229183.86,134845.68,94338.17,472.52,99.0,41.0,24040.37,22106.67,46.06,160,20,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,8.587229190421892,10.57403085330449,linear,250,60.0
92877.0,229183.86,134601.47,94582.39,271.45,100.0,41.0,24284.58,22307.74,38.73,62,19,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,8.587229190421892,10.57403085330449,linear,300,60.0
92877.0,229183.86,134505.0,94678.86,206.55,100.0,41.0,24381.05,22372.65,33.29,36,18,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,8.587229190421892,10.57403085330449,linear,350,60.0
92877.0,229183.86,134432.08,94751.77,163.35,100.0,41.0,24453.97,22415.85,29.19,33,16,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,8.587229190421892,10.57403085330449,linear,400,60.0
92877.0,229183.86,134359.17,94824.69,120.15,100.0,41.0,24526.88,22459.05,25.99,31,15,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,8.587229190421892,10.57403085330449,linear,450,60.0
92877.0,229183.86,134286.25,94897.61,76.95,100.0,41.0,24599.8,22502.25,23.44,29,14,8760,17540,3600.0,1800.0,30min,0.5,26.16254095613291,26.092543835114057,8.587229190421892,10.57403085330449,linear,500,60.0
